iter	Logloss
0	0.6740608109
1	0.6578064645
2	0.6423055258
3	0.6301000411
4	0.6173942288
5	0.6043842751
6	0.5935630285
7	0.5859467481
8	0.5771433805
9	0.5687000243
10	0.5607730612
11	0.5535263845
12	0.5467030746
13	0.5413539575
14	0.5372757748
15	0.5315355568
16	0.5271402694
17	0.5228279851
18	0.5188831026
19	0.5155008731
20	0.5128396332
21	0.5095062372
22	0.5060535849
23	0.5032778984
24	0.5004845367
25	0.4985142847
26	0.4965813115
27	0.49490942
28	0.4930497925
29	0.4909823569
30	0.4895078214
31	0.4876912767
32	0.4857345629
33	0.4843493645
34	0.4823045734
35	0.4807529556
36	0.479240314
37	0.4777741323
38	0.4766029795
39	0.4754144516
40	0.4740456545
41	0.4725534621
42	0.4715647328
43	0.4705037122
44	0.4695821258
45	0.4685588517
46	0.4675786163
47	0.4665805648
48	0.4657466456
49	0.4649923157
50	0.4639741466
51	0.4633835541
52	0.4627168159
53	0.4621591817
54	0.4616646616
55	0.4610387258
56	0.460428686
57	0.4599755196
58	0.4592540113
59	0.4586841587
60	0.4581728744
61	0.4574388926
62	0.4571410582
63	0.4565920092
64	0.4561338487
65	0.4555262202
66	0.4550749618
67	0.4548308922
68	0.4545045131
69	0.4539415522
70	0.45375807
71	0.4529541302
72	0.4525383319
73	0.4520210522
74	0.4515866546
75	0.4513689944
76	0.4509404947
77	0.4506553873
78	0.4502592902
79	0.4498398982
80	0.449363867
81	0.4487402192
82	0.4484639135
83	0.4480349959
84	0.4476005953
85	0.4473288561
86	0.4470759763
87	0.446720966
88	0.446060746
89	0.4457858169
90	0.4455254532
91	0.444998938
92	0.4445993185
93	0.4440314801
94	0.4438818944
95	0.4435816359
96	0.4434226459
97	0.4433588811
98	0.4431074273
99	0.4427080509
100	0.4425063798
101	0.4423465275
102	0.4421162888
103	0.4417241651
104	0.4415766164
105	0.4412440515
106	0.4409944342
107	0.4405157558
108	0.4404382563
109	0.4403351275
110	0.4401292889
111	0.4399619902
112	0.4397032282
113	0.4393747046
114	0.4391530223
115	0.4389583637
116	0.4385033499
117	0.4382705919
118	0.4381166402
119	0.4379040849
120	0.43776163
121	0.43744927
122	0.4370245283
123	0.436933163
124	0.4363612603
125	0.4359968324
126	0.4357812229
127	0.4357222566
128	0.4354613571
129	0.4353900238
130	0.4350475307
131	0.4348023844
132	0.43446352
133	0.4343736787
134	0.4343509781
135	0.4342953014
136	0.4341418359
137	0.4338123516
138	0.433461286
139	0.4328712798
140	0.4325613981
141	0.4322283971
142	0.4321062714
143	0.4316497708
144	0.4314851603
145	0.4309345734
146	0.4305213827
147	0.430078948
148	0.4296513291
149	0.4296487779
150	0.4293441717
151	0.4292831709
152	0.4289535764
153	0.4286267678
154	0.4282603828
155	0.4279423043
156	0.4274620359
157	0.426960566
158	0.4269086709
159	0.4268129248
160	0.426690691
161	0.4262104369
162	0.4256058328
163	0.4255056822
164	0.4252684954
165	0.424899409
166	0.4245995265
167	0.4243688002
168	0.4242325474
169	0.423563949
170	0.4233565196
171	0.4230254623
172	0.4226168697
173	0.4221933605
174	0.4217986982
175	0.4208135275
176	0.4205331697
177	0.4199412683
178	0.419417321
179	0.4191374987
180	0.4188516232
181	0.4185287378
182	0.4183568676
183	0.4179648658
184	0.4177435987
185	0.4176058865
186	0.4170784836
187	0.4168551023
188	0.4168208974
189	0.4165938032
190	0.4161887776
191	0.4154161038
192	0.41516021
193	0.4148625185
194	0.414317998
195	0.4139560361
196	0.4136337013
197	0.4130307518
198	0.4126133442
199	0.4116939304
200	0.4114539665
201	0.4112707321
202	0.4106407438
203	0.4098931187
204	0.4094639866
205	0.4090599773
206	0.4087631339
207	0.4081617928
208	0.4079761656
209	0.4077604837
210	0.4070637792
211	0.4064437086
212	0.4058437114
213	0.4045154422
214	0.4039391224
215	0.4036121375
216	0.4035105288
217	0.403118338
218	0.4027202176
219	0.4014527313
220	0.4008702112
221	0.4007833624
222	0.3998662903
223	0.3994962064
224	0.3994268003
225	0.3979502296
226	0.3976787064
227	0.3970771797
228	0.3964469472
229	0.3962291738
230	0.3961196528
231	0.394887771
232	0.3942454049
233	0.3935751787
234	0.3929442177
235	0.3919298125
236	0.3913239111
237	0.3900945748
238	0.3895315105
239	0.3884024204
240	0.3876085857
241	0.3870314796
242	0.3861730842
243	0.3858136839
244	0.3856964574
245	0.3854923634
246	0.3849453995
247	0.3846449757
248	0.3837703076
249	0.3833834955
250	0.3827160855
251	0.3817460313
252	0.3814913755
253	0.3802216026
254	0.3790424493
255	0.3787496119
256	0.3787246966
257	0.3780830074
258	0.3771470307
259	0.3767499465
260	0.3762400189
261	0.3755775374
262	0.3748774315
263	0.3742385915
264	0.3736172319
265	0.3730581206
266	0.3721521512
267	0.3717311833
268	0.3711199388
269	0.3706146553
270	0.3702573699
271	0.3700316023
272	0.3696654833
273	0.3690590364
274	0.3688200032
275	0.3685225649
276	0.3672716204
277	0.3672511574
278	0.3668261308
279	0.3666853074
280	0.3664094414
281	0.3663654033
282	0.3661250583
283	0.3659360562
284	0.3658633794
285	0.3655473749
286	0.3652566405
287	0.3651576462
288	0.3649326372
289	0.3642619924
290	0.363889561
291	0.3634680611
292	0.3627252514
293	0.3616190697
294	0.3615078833
295	0.3605396982
296	0.3601717543
297	0.3599287407
298	0.3595006392
299	0.3588169582
300	0.358385864
301	0.3580070075
302	0.3579959761
303	0.3574750156
304	0.3567899447
305	0.3560145894
306	0.3555636327
307	0.3555459958
308	0.3546821607
309	0.3544333029
310	0.3543032043
311	0.353293861
312	0.3530116234
313	0.3525092825
314	0.352474962
315	0.3519371025
316	0.3517596315
317	0.3517386093
318	0.3507858596
319	0.3506712683
320	0.349891351
321	0.3494187959
322	0.3491615656
323	0.3488863654
324	0.3487736033
325	0.3481542227
326	0.3481517232
327	0.3477391979
328	0.3469778301
329	0.3459236089
330	0.3456607873
331	0.345418252
332	0.3447448157
333	0.3441501325
334	0.343777451
335	0.3434090329
336	0.3429018162
337	0.3421550866
338	0.3415067553
339	0.3411926964
340	0.3409559246
341	0.340183519
342	0.3398301619
343	0.3391594177
