iter	Passed	Remaining
0	9	3948
1	19	4104
2	28	4006
3	37	3919
4	42	3609
5	51	3598
6	58	3512
7	67	3561
8	76	3543
9	84	3508
10	91	3468
11	99	3432
12	107	3421
13	117	3453
14	126	3465
15	135	3473
16	145	3510
17	155	3535
18	163	3515
19	169	3457
20	178	3453
21	187	3445
22	194	3411
23	201	3388
24	210	3388
25	218	3362
26	225	3347
27	234	3347
28	242	3322
29	249	3295
30	257	3284
31	263	3257
32	271	3241
33	278	3221
34	285	3193
35	292	3173
36	300	3164
37	306	3138
38	315	3141
39	322	3124
40	330	3110
41	337	3093
42	344	3078
43	354	3087
44	363	3083
45	372	3081
46	379	3072
47	386	3051
48	395	3051
49	403	3042
50	411	3032
51	418	3019
52	425	3002
53	434	3000
54	442	2995
55	449	2976
56	459	2980
57	468	2980
58	479	2991
59	486	2973
60	493	2961
61	500	2946
62	506	2926
63	514	2918
64	522	2910
65	530	2899
66	536	2882
67	545	2880
68	551	2863
69	562	2867
70	569	2856
71	578	2851
72	584	2835
73	591	2823
74	597	2803
75	607	2804
76	614	2790
77	621	2781
78	628	2770
79	635	2758
80	643	2749
81	651	2741
82	660	2737
83	669	2735
84	678	2730
85	686	2721
86	693	2710
87	700	2696
88	707	2688
89	716	2682
90	727	2687
91	735	2678
92	742	2666
93	749	2654
94	755	2640
95	764	2636
96	771	2625
97	778	2612
98	785	2601
99	792	2590
100	800	2582
101	808	2575
102	815	2565
103	822	2553
104	829	2543
105	834	2527
106	841	2517
107	849	2509
108	856	2498
109	863	2489
110	869	2474
111	878	2470
112	884	2457
113	892	2451
114	899	2441
115	905	2428
116	912	2418
117	920	2410
118	928	2404
119	935	2394
120	942	2384
121	950	2376
122	958	2369
123	969	2369
124	976	2359
125	984	2352
126	992	2344
127	1001	2338
128	1013	2341
129	1021	2333
130	1027	2322
131	1035	2313
132	1042	2304
133	1051	2299
134	1056	2286
135	1063	2276
136	1071	2268
137	1079	2260
138	1087	2252
139	1093	2242
140	1101	2233
141	1106	2221
142	1113	2210
143	1122	2206
144	1131	2200
145	1139	2193
146	1147	2186
147	1155	2178
148	1163	2170
149	1169	2159
150	1177	2151
151	1184	2143
152	1192	2135
153	1198	2125
154	1206	2116
155	1216	2112
156	1224	2105
157	1230	2095
158	1239	2088
159	1245	2078
160	1251	2067
161	1259	2060
