iter	Logloss
0	0.6862456578
1	0.6800695756
2	0.673791028
3	0.6670500796
4	0.6611072189
5	0.6549370775
6	0.6492001938
7	0.6430195656
8	0.6378075078
9	0.6331341757
10	0.6287456276
11	0.6240026783
12	0.61938989
13	0.6152755077
14	0.6107773404
15	0.6070384487
16	0.6032832
17	0.5994894011
18	0.5958445444
19	0.5924587389
20	0.5889834504
21	0.5854078177
22	0.5818989139
23	0.5786692272
24	0.5755242158
25	0.5726843083
26	0.5698109008
27	0.5670934912
28	0.5646070698
29	0.5623628808
30	0.5604445199
31	0.5578540901
32	0.5556296028
33	0.553921716
34	0.5517901976
35	0.550194957
36	0.5479714397
37	0.5459264418
38	0.5440769769
39	0.5422883376
40	0.5406769739
41	0.5392023327
42	0.53800119
43	0.5363382768
44	0.5349018592
45	0.5333443284
46	0.5323064115
47	0.5309332094
48	0.5296159181
49	0.5283440083
50	0.52693711
51	0.5257750464
52	0.5247225391
53	0.523684877
54	0.522742289
55	0.5213186566
56	0.5204184766
57	0.5197151133
58	0.5186246191
59	0.5178249319
60	0.516950131
61	0.5159361206
62	0.5151186103
63	0.5146221569
64	0.5137959148
65	0.5128536794
66	0.5120114845
67	0.511234497
68	0.5103951913
69	0.5097415825
70	0.5086397135
71	0.5081084317
72	0.5073068042
73	0.5067290997
74	0.5061468997
75	0.5055527732
76	0.5050024294
77	0.5044783739
78	0.5038482276
79	0.5031698841
80	0.5025906982
81	0.5021300566
82	0.5015072179
83	0.5008861709
84	0.500232394
85	0.4998409809
86	0.4992974651
87	0.4987224182
88	0.4981046302
89	0.4976426507
90	0.4971436606
91	0.4966370714
92	0.4961406076
93	0.4956376253
94	0.4951773516
95	0.4946837282
96	0.4944396933
97	0.493918691
98	0.493606447
99	0.4933483026
100	0.4929844972
101	0.49264672
102	0.4924171079
103	0.4919587202
104	0.4916463617
105	0.4914466198
106	0.491248124
107	0.4910541901
108	0.490548911
109	0.4901688354
110	0.4899173177
111	0.4895557559
112	0.4890423465
113	0.4887191977
114	0.488454606
115	0.488007103
116	0.4877293845
117	0.4875050272
118	0.4870747229
119	0.4868874361
120	0.4867006784
121	0.4863731718
122	0.4861589421
123	0.4859704364
124	0.4857217062
125	0.4854643402
126	0.4853461539
127	0.4851101193
128	0.4848952278
129	0.4847354043
130	0.4845106653
131	0.4843365117
132	0.4842027253
133	0.4839774049
134	0.4837792704
135	0.4835844428
136	0.4831990396
137	0.4830454245
138	0.4828539471
139	0.4826291407
140	0.4823575724
141	0.4822481053
142	0.4820518816
143	0.4818559805
144	0.4816819736
145	0.4815680951
146	0.4813803676
147	0.4810523526
148	0.480918507
149	0.4807659703
150	0.4806524948
151	0.4805450364
152	0.480441375
153	0.4803395659
154	0.4802374846
155	0.4801649152
156	0.4799999074
157	0.4799018716
158	0.4797007405
159	0.4795463763
160	0.4794386995
161	0.4792817463
162	0.479187363
