iter	Passed	Remaining
0	8	3525
1	15	3279
2	24	3431
3	32	3388
4	41	3516
5	50	3538
6	56	3408
7	64	3369
8	70	3274
9	76	3207
10	89	3378
11	98	3417
12	106	3382
13	114	3366
14	121	3350
15	128	3308
16	135	3273
17	142	3245
18	151	3243
19	157	3197
20	168	3260
21	175	3237
22	182	3208
23	190	3198
24	199	3200
25	208	3212
26	215	3190
27	221	3159
28	228	3134
29	235	3113
30	243	3107
31	250	3095
32	259	3102
33	267	3096
34	274	3072
35	284	3090
36	291	3068
37	299	3064
38	305	3039
39	312	3025
40	319	3005
41	326	2990
42	334	2988
43	340	2963
44	348	2957
45	354	2939
46	362	2931
47	372	2943
48	379	2928
49	387	2919
50	394	2908
51	400	2886
52	405	2859
53	413	2858
54	422	2854
55	430	2852
56	437	2842
57	444	2826
58	453	2826
59	461	2822
60	469	2818
61	477	2812
62	485	2804
63	493	2801
64	501	2794
65	509	2784
66	517	2781
67	525	2774
68	535	2775
69	541	2763
70	549	2755
71	556	2742
72	562	2726
73	569	2718
74	578	2714
75	587	2711
76	594	2700
77	601	2689
78	608	2680
79	618	2681
80	626	2674
81	632	2660
82	640	2653
83	647	2645
84	656	2639
85	661	2624
86	667	2610
87	674	2600
88	681	2589
89	691	2588
90	698	2580
91	706	2573
92	712	2559
93	718	2545
94	725	2534
95	730	2520
96	741	2521
97	748	2513
98	755	2503
99	762	2493
100	769	2483
101	779	2482
102	787	2476
103	793	2464
104	798	2449
105	805	2440
106	812	2431
107	819	2419
108	827	2414
109	832	2400
110	840	2393
111	846	2381
112	854	2373
113	862	2368
114	869	2359
115	873	2342
116	880	2333
117	892	2337
118	898	2326
119	907	2322
120	916	2317
121	922	2305
122	930	2298
123	938	2293
124	946	2285
125	953	2278
126	962	2273
127	969	2264
128	977	2258
129	985	2250
130	990	2238
131	996	2226
132	1002	2215
133	1007	2203
134	1015	2197
135	1023	2190
136	1030	2181
137	1037	2172
138	1046	2168
139	1051	2155
140	1058	2147
141	1066	2140
142	1074	2133
143	1080	2123
144	1089	2118
145	1096	2110
146	1103	2101
147	1112	2097
148	1121	2093
149	1130	2087
150	1138	2080
151	1144	2070
152	1154	2067
153	1161	2059
154	1169	2051
155	1176	2044
156	1184	2037
157	1193	2031
158	1201	2024
159	1208	2016
160	1215	2007
161	1222	1999
162	1231	1994
163	1237	1985
164	1243	1974
165	1252	1969
166	1259	1960
167	1268	1955
168	1275	1947
169	1284	1941
170	1291	1933
171	1298	1925
172	1305	1917
173	1314	1910
174	1320	1901
175	1329	1895
176	1335	1886
177	1343	1878
178	1351	1872
179	1360	1866
180	1372	1865
181	1379	1857
182	1387	1850
183	1396	1844
184	1403	1836
185	1411	1828
186	1419	1822
187	1428	1816
188	1436	1809
189	1445	1802
190	1453	1795
191	1461	1788
192	1469	1781
193	1481	1778
194	1488	1770
195	1497	1764
196	1504	1755
197	1511	1748
198	1517	1738
199	1525	1731
200	1534	1725
201	1541	1716
202	1549	1709
203	1557	1702
204	1566	1696
205	1576	1691
206	1583	1682
207	1590	1674
208	1599	1667
209	1607	1661
210	1616	1655
211	1626	1649
212	1633	1641
213	1641	1634
214	1647	1624
215	1656	1617
216	1664	1610
217	1671	1602
218	1678	1594
219	1688	1588
220	1695	1580
221	1703	1573
222	1713	1567
223	1720	1559
224	1730	1553
225	1738	1545
226	1745	1537
227	1753	1530
228	1758	1520
