iter	Logloss
0	0.6767398369
1	0.6586747762
2	0.6436987951
3	0.6309739781
4	0.6183212989
5	0.6064303789
6	0.5957581182
7	0.5869585841
8	0.5792380429
9	0.5715641749
10	0.5636424079
11	0.5574372972
12	0.5519136647
13	0.5469194777
14	0.5420275242
15	0.5379883768
16	0.5326420283
17	0.5278232898
18	0.5239996477
19	0.5205557343
20	0.5169223917
21	0.5136607909
22	0.5114043578
23	0.5087757237
24	0.5066282407
25	0.5048395312
26	0.5029759275
27	0.5011471253
28	0.4990409336
29	0.4969317751
30	0.4946372574
31	0.4929910908
32	0.4915463964
33	0.4899985606
34	0.4884050068
35	0.4868815895
36	0.485612431
37	0.4844206226
38	0.4834333713
39	0.4824020964
40	0.4811918513
41	0.4804206072
42	0.4794983551
43	0.4781363772
44	0.4770975328
45	0.4762932519
46	0.4755575131
47	0.4748072569
48	0.4740236682
49	0.4736861424
50	0.4727815316
51	0.4720621804
52	0.4716865583
53	0.470949562
54	0.4704953656
55	0.4698563615
56	0.4694393709
57	0.468939545
58	0.4682334688
59	0.4675611656
60	0.467275345
61	0.4667924887
62	0.4663394701
63	0.4660666586
64	0.4651793609
65	0.4647107172
66	0.4641732039
67	0.4638880751
68	0.4632067999
69	0.4628840838
70	0.4624989894
71	0.462051414
72	0.4617093161
73	0.4608842293
74	0.4604762943
75	0.4598762618
76	0.4591338637
77	0.4587263258
78	0.458236274
79	0.457659816
80	0.4567946132
81	0.4567164349
82	0.4563675927
83	0.455460907
84	0.4552280539
85	0.4548902601
86	0.4543465031
87	0.4540288775
88	0.4533497163
89	0.4528156997
90	0.4525363759
91	0.4522085617
92	0.4520423607
93	0.4516700764
94	0.4515985712
95	0.4514760639
96	0.450750954
97	0.4503737124
98	0.4502704177
99	0.4499102144
100	0.449664662
101	0.4491063846
102	0.4485588283
103	0.4480403785
104	0.4476219947
105	0.4471700306
106	0.4468690962
107	0.4466946526
108	0.4463329775
109	0.4461676243
110	0.4459736376
111	0.445604216
112	0.4453859562
113	0.4453358632
114	0.4449370213
115	0.4448734739
116	0.4447218416
117	0.4446651777
118	0.4442135585
119	0.444046612
120	0.4439430214
121	0.4438458255
122	0.4437418012
123	0.4433476234
124	0.4430651342
125	0.4429224
126	0.4426322993
127	0.4425238269
128	0.4421258237
129	0.4419271687
130	0.4415891761
131	0.441508434
132	0.4413298824
133	0.4412630449
134	0.4409604285
135	0.4404908321
136	0.4403194542
137	0.439996763
138	0.4394503538
139	0.4394104229
140	0.4390617899
141	0.4388083467
142	0.4382874762
143	0.437971621
144	0.4375833908
145	0.4373637481
146	0.4371867079
147	0.4370555422
148	0.4366763636
149	0.4362519342
150	0.4359620057
151	0.4354689226
152	0.4353867742
153	0.4353277621
154	0.4351402963
155	0.4346954744
156	0.4345433776
157	0.434347653
158	0.4340697227
159	0.43398565
160	0.4337602285
161	0.433622095
162	0.4333278321
163	0.4331737009
164	0.4329296026
165	0.432616159
166	0.4324268724
167	0.4316710585
168	0.4314881506
169	0.4312153599
170	0.4309383623
171	0.4308582128
172	0.4304085451
173	0.4302226177
174	0.429638204
175	0.428992855
176	0.4286703098
177	0.4283438836
178	0.4279135349
179	0.4275254738
180	0.4271954195
181	0.4270322231
182	0.4267403747
183	0.426621801
184	0.4259048664
185	0.4250604057
186	0.424711858
187	0.4243969902
188	0.4241216352
189	0.4236739119
190	0.422970118
191	0.4223936783
192	0.4215190828
193	0.4209281428
194	0.4208755189
195	0.4203771453
196	0.4202604106
197	0.4197222578
198	0.4196039571
199	0.4188573226
200	0.4181071371
201	0.4177870842
202	0.4173451692
203	0.4167798969
204	0.4163981149
205	0.4158981304
206	0.4157878385
207	0.4156387899
208	0.4155807477
209	0.4149563519
210	0.4143006158
211	0.4136782173
212	0.4129242416
213	0.4127553878
214	0.4125968117
215	0.4115502784
216	0.4111798581
217	0.4105165234
218	0.4102200422
219	0.4092047591
220	0.4088738191
221	0.4087938882
222	0.4080837835
223	0.4073877839
224	0.4070671155
225	0.4068246336
226	0.4063217112
227	0.4061272382
228	0.4059949672
229	0.4056798145
230	0.4054412411
231	0.4053206058
232	0.4047435427
233	0.4038285212
234	0.403001241
235	0.4021060082
236	0.4011837698
237	0.4008497064
238	0.3999455815
239	0.3988620328
240	0.398299243
241	0.3981760658
242	0.3979834766
243	0.3978315414
244	0.3971185041
245	0.3958578605
246	0.3950919089
247	0.3947160601
248	0.3941020865
249	0.3934528805
250	0.3928302841
251	0.3926617571
252	0.3920221495
253	0.3916313663
254	0.3909391455
255	0.3897598823
256	0.3897320939
257	0.3893918138
258	0.3886614793
259	0.3882322296
260	0.387820702
261	0.3874730211
262	0.3870086925
263	0.3865307256
264	0.386273009
265	0.3851145274
266	0.3844374474
267	0.3842068611
268	0.3832519028
269	0.3830115961
270	0.3829590625
271	0.382550227
272	0.3815675213
273	0.3811965179
274	0.3803699053
275	0.3801359934
276	0.3797379949
277	0.3794893709
278	0.379435447
279	0.3787724445
280	0.378729132
281	0.3786971835
282	0.3781542209
283	0.3776020215
284	0.3772141773
285	0.3767906422
286	0.3760413681
287	0.3758033384
288	0.3748465536
289	0.3746986065
290	0.3741353143
291	0.3735860878
292	0.3734579424
293	0.373024387
294	0.3725208588
295	0.3723466642
296	0.3717017158
297	0.371226939
298	0.371011295
299	0.3701176921
300	0.3693602977
301	0.3691544631
302	0.3691190321
303	0.3688801579
304	0.3683507954
305	0.368230011
306	0.3676395138
307	0.3670472745
308	0.3666709956
309	0.3660444364
310	0.3653068614
311	0.3652545495
312	0.3652189852
313	0.3639113717
314	0.3638225728
315	0.3636429104
316	0.3634442006
317	0.3633264292
318	0.3632517409
319	0.362829383
320	0.3625718303
321	0.3623214143
322	0.3622679058
323	0.3619609971
324	0.3618945268
325	0.361549311
326	0.3614944596
327	0.3611797677
328	0.3607230549
329	0.3597700897
330	0.3586308416
331	0.3585071913
332	0.3583658119
333	0.3579032928
334	0.3578838378
335	0.3572423606
336	0.3569913403
337	0.3567001992
338	0.3558946344
339	0.3554455662
340	0.3554103309
341	0.3553903179
342	0.3546251414
343	0.3544941157
344	0.3538839844
345	0.3535455678
346	0.3531201966
347	0.3528651171
348	0.3526095707
349	0.3523475339
350	0.352072757
351	0.3515665658
352	0.3510944498
353	0.3509304507
354	0.3505692481
355	0.3505215455
356	0.3503874026
357	0.3502881762
358	0.3494881218
359	0.3491548305
360	0.3484003048
361	0.3481224976
362	0.3475806463
363	0.3468870154
364	0.3462289121
365	0.3458136677
366	0.3454101784
367	0.3444637384
368	0.3441395459
369	0.3437687939
370	0.3434100863
371	0.3432439638
372	0.3423341091
373	0.3420879591
374	0.3413649718
375	0.3405155164
376	0.3402470114
377	0.3397972803
378	0.3395989284
379	0.3391601401
380	0.3384437971
381	0.337985976
382	0.3371812184
383	0.3370032017
384	0.3369860994
385	0.3368263588
386	0.3365497574
387	0.3359486101
388	0.3355542343
389	0.3353460928
390	0.3350532303
391	0.3346470223
392	0.3342932486
393	0.3338385874
394	0.3335341713
395	0.3334208093
396	0.3333345862
397	0.3326486573
398	0.3317794197
399	0.3317048852
400	0.3306535887
401	0.3301271114
402	0.3297404322
403	0.3291602697
404	0.3291122931
405	0.3289279234
406	0.3281587433
407	0.3276703375
408	0.3274649954
409	0.3271273658
410	0.3265596885
411	0.3262016097
412	0.325957117
413	0.3257377651
414	0.3257020958
415	0.3255695078
416	0.3248381625
417	0.3238113211
418	0.323459352
419	0.3231581742
420	0.322596387
421	0.3223180537
422	0.3222290555
423	0.3220988457
424	0.3219342277
425	0.3211893428
426	0.3209185125
