iter	Passed	Remaining
0	11	5080
1	19	4206
2	29	4159
3	37	3913
4	45	3875
5	53	3781
6	62	3762
7	70	3694
8	79	3701
9	86	3596
10	93	3536
11	102	3551
12	111	3554
13	118	3501
14	125	3443
15	131	3389
16	141	3412
17	148	3363
18	156	3365
19	165	3373
20	171	3322
21	180	3316
22	188	3305
23	196	3297
24	203	3276
25	213	3298
26	225	3337
27	235	3352
28	243	3340
29	251	3334
30	259	3309
31	267	3305
32	275	3285
33	282	3269
34	288	3228
35	295	3210
36	307	3239
37	314	3219
38	321	3193
39	329	3185
40	336	3170
41	347	3189
42	354	3166
43	361	3147
44	369	3132
45	375	3114
46	383	3096
47	391	3093
48	400	3091
49	407	3071
50	415	3061
51	424	3060
52	431	3042
53	438	3028
54	446	3020
55	454	3011
56	460	2987
57	468	2978
58	477	2979
59	484	2966
60	492	2957
61	500	2949
62	509	2945
63	517	2934
64	525	2927
65	531	2908
66	538	2893
67	544	2876
68	550	2853
69	557	2843
70	566	2838
71	573	2829
72	580	2816
73	589	2813
74	598	2807
75	605	2797
76	612	2784
77	619	2771
78	625	2757
79	633	2748
80	641	2740
81	648	2728
82	655	2716
83	661	2700
84	668	2690
85	675	2676
86	682	2668
87	689	2655
88	697	2649
89	704	2637
90	711	2628
91	722	2629
92	728	2615
93	734	2602
94	741	2591
95	749	2585
96	756	2574
97	764	2567
98	771	2556
99	779	2550
100	785	2536
101	792	2526
102	801	2521
103	808	2511
104	815	2501
105	824	2496
106	831	2487
107	841	2485
108	847	2473
109	854	2463
110	862	2456
111	871	2451
112	877	2438
113	884	2429
114	892	2420
115	899	2411
116	907	2405
117	914	2394
118	921	2385
119	928	2376
120	936	2367
121	944	2360
122	952	2354
123	959	2345
124	970	2345
125	976	2331
126	982	2321
127	988	2310
128	998	2305
129	1008	2303
130	1014	2292
131	1022	2285
132	1028	2273
133	1036	2266
134	1045	2261
135	1053	2254
136	1061	2246
137	1068	2236
138	1073	2224
139	1080	2214
140	1090	2212
141	1097	2203
142	1104	2194
143	1112	2185
144	1118	2176
145	1126	2168
146	1135	2162
147	1142	2153
148	1149	2144
149	1156	2135
150	1164	2128
151	1171	2120
152	1178	2110
153	1184	2100
154	1192	2092
155	1200	2084
156	1207	2076
157	1216	2071
158	1224	2063
159	1231	2055
160	1237	2044
161	1245	2037
162	1254	2031
163	1262	2024
164	1269	2015
165	1276	2007
166	1283	1998
167	1292	1992
168	1300	1985
169	1308	1978
170	1317	1972
171	1323	1961
172	1331	1955
173	1338	1946
174	1346	1939
175	1356	1934
176	1365	1928
177	1372	1920
178	1381	1913
179	1387	1904
180	1394	1895
181	1402	1888
182	1409	1879
183	1418	1873
184	1424	1863
185	1434	1858
186	1440	1848
187	1448	1841
188	1460	1839
189	1469	1832
190	1478	1827
191	1488	1822
192	1498	1816
193	1506	1809
194	1516	1804
195	1524	1796
196	1532	1789
197	1542	1783
198	1550	1775
199	1557	1768
200	1565	1759
201	1571	1750
202	1580	1743
203	1589	1737
204	1596	1729
205	1604	1720
206	1613	1714
207	1621	1707
208	1629	1699
209	1638	1693
210	1645	1684
211	1654	1678
212	1665	1673
213	1673	1665
214	1681	1658
215	1689	1650
216	1698	1644
217	1708	1638
218	1715	1629
219	1724	1622
220	1732	1615
221	1742	1609
222	1750	1601
223	1760	1595
224	1766	1585
225	1774	1577
226	1784	1571
227	1790	1563
228	1797	1554
229	1808	1548
230	1815	1540
231	1828	1536
232	1838	1530
233	1848	1524
234	1856	1516
235	1864	1508
236	1872	1501
237	1881	1493
238	1888	1485
239	1897	1478
240	1907	1471
241	1915	1463
242	1919	1453
243	1927	1445
244	1935	1438
245	1942	1429
246	1950	1421
247	1960	1414
248	1967	1406
249	1973	1397
250	1981	1389
251	1991	1382
252	1998	1374
253	2008	1368
254	2016	1360
255	2021	1350
256	2030	1343
257	2041	1337
258	2049	1329
259	2055	1320
260	2062	1311
261	2070	1303
262	2078	1295
263	2084	1286
264	2090	1277
265	2098	1270
266	2106	1262
267	2115	1255
268	2123	1247
269	2130	1239
270	2138	1230
271	2146	1223
272	2156	1216
273	2162	1207
274	2172	1200
275	2178	1192
276	2187	1184
277	2197	1177
278	2204	1169
279	2210	1160
280	2217	1152
281	2224	1143
282	2233	1136
283	2240	1128
284	2249	1120
285	2255	1112
286	2261	1103
287	2269	1095
288	2277	1087
289	2285	1079
290	2293	1071
291	2302	1064
292	2310	1056
293	2320	1049
294	2329	1042
295	2334	1033
296	2342	1025
297	2351	1017
298	2360	1010
299	2368	1002
300	2376	994
301	2384	986
302	2391	978
303	2402	972
304	2408	963
305	2416	955
306	2424	947
307	2433	940
308	2442	932
309	2450	924
310	2458	917
311	2465	908
312	2473	900
313	2484	893
314	2492	886
315	2501	878
316	2507	870
317	2516	862
318	2524	854
319	2530	846
320	2539	838
321	2546	830
322	2557	823
323	2567	816
324	2577	808
325	2584	800
326	2590	792
327	2600	784
328	2610	777
329	2618	769
330	2623	761
331	2630	752
332	2637	744
333	2649	737
334	2655	729
335	2664	721
336	2670	713
337	2678	705
338	2688	698
339	2695	689
340	2702	681
341	2710	673
342	2716	665
343	2723	657
344	2731	649
345	2740	641
346	2747	633
347	2753	624
348	2760	616
349	2772	609
350	2780	602
351	2786	593
352	2796	586
353	2802	577
354	2809	569
355	2816	561
356	2822	553
357	2829	545
358	2835	537
359	2843	529
360	2852	521
361	2860	513
362	2869	505
363	2878	498
364	2889	490
365	2897	482
366	2905	474
367	2911	466
368	2920	458
369	2928	451
370	2936	443
371	2945	435
372	2953	427
373	2960	419
374	2967	411
375	2978	403
376	2984	395
