iter	Logloss
0	0.6771406206
1	0.6590027093
2	0.6428605048
3	0.6293912079
4	0.6159441907
5	0.6042167284
6	0.5927376523
7	0.5841422983
8	0.5758433237
9	0.5678814312
10	0.559952739
11	0.553257536
12	0.5481556285
13	0.5428101569
14	0.5366825081
15	0.5315453777
16	0.527878527
17	0.5235020244
18	0.5192775723
19	0.5155619311
20	0.5127408697
21	0.5103989622
22	0.5080753888
23	0.5051942836
24	0.5027093298
25	0.5001306747
26	0.4977026163
27	0.4955227903
28	0.4935437369
29	0.4912921576
30	0.4888991304
31	0.4874789598
32	0.4859450194
33	0.4848112114
34	0.483387279
35	0.4821206359
36	0.4806503335
37	0.4790541339
38	0.4777331763
39	0.4761420586
40	0.4751117151
41	0.4738642802
42	0.4730251344
43	0.4721211128
44	0.4705645145
45	0.4695439098
46	0.4684807644
47	0.4675238342
48	0.4661845983
49	0.4655226003
50	0.4646049409
51	0.4637795119
52	0.4630006079
53	0.4624681132
54	0.4618058321
55	0.4615085718
56	0.4609524572
57	0.4598344938
58	0.4591985216
59	0.4582999858
60	0.4578280575
61	0.4571392327
62	0.4565823963
63	0.4558161747
64	0.4548861381
65	0.4545705796
66	0.4539985521
67	0.453312928
68	0.4526739852
69	0.4521268172
70	0.4517138055
71	0.4511707772
72	0.4509670298
73	0.4503691675
74	0.4499546711
75	0.449419345
76	0.448827243
77	0.4482435231
78	0.4479692765
79	0.4474745994
80	0.4470697654
81	0.4465719142
82	0.4463662409
83	0.4459587798
84	0.4457419681
85	0.4456514698
86	0.4449788336
87	0.4446407484
88	0.4442900561
89	0.4438820759
90	0.4437288253
91	0.4435135093
92	0.4430634285
93	0.4428699706
94	0.4424898113
95	0.4421159541
96	0.4418817287
97	0.4416451532
98	0.4411265727
99	0.4408014098
100	0.4405908953
101	0.4402390161
102	0.4401790735
103	0.4399234911
104	0.4396278025
105	0.4394296489
106	0.4391030976
107	0.4388980633
108	0.4385313412
109	0.4380842182
110	0.4375872208
111	0.4370825843
112	0.4367978465
113	0.4359681214
114	0.4358029358
115	0.4353944496
116	0.4351371938
117	0.434916433
118	0.4347308536
119	0.434506934
120	0.4341682905
121	0.4336054328
122	0.4334856623
123	0.4333161344
124	0.433081272
125	0.4328090961
126	0.432691863
127	0.4325690921
128	0.432181386
129	0.4319032873
130	0.4314274733
131	0.4311855427
132	0.4308335196
133	0.4305949147
134	0.4302401014
135	0.4298089574
136	0.4291928612
137	0.4289517169
138	0.428737245
139	0.4285122061
140	0.4282215929
141	0.4280874699
142	0.4279418434
143	0.4270975071
144	0.4269014993
145	0.4264723892
146	0.4262897882
147	0.4260736655
148	0.4259977024
149	0.4258306188
150	0.4253208727
151	0.4249057898
152	0.424719617
153	0.424643735
154	0.4245062597
155	0.4240624291
156	0.4237832326
157	0.4234907739
158	0.4231905662
159	0.4229243841
160	0.4227232315
161	0.422509181
162	0.4219455963
163	0.4216067549
164	0.420816711
165	0.4205692565
166	0.4205332779
167	0.4203385229
168	0.4195947231
169	0.4192230238
170	0.4188501783
171	0.4188169752
172	0.4182387047
173	0.4181818528
174	0.4178069464
175	0.417443576
176	0.4173062057
177	0.4170797855
178	0.4166128241
179	0.4161346851
180	0.4159050583
181	0.4152936281
182	0.4148501339
183	0.4143234636
184	0.4141133087
185	0.4138852304
186	0.4138217326
187	0.4136258448
188	0.4132571645
189	0.4129833357
190	0.4127968886
191	0.4122115971
192	0.4114789808
193	0.4112183924
194	0.411070717
195	0.4108052085
196	0.4102538504
197	0.4099261077
198	0.4091706944
199	0.4087896584
200	0.4085128668
201	0.4083388222
202	0.4080673468
203	0.4074105847
204	0.4068816601
205	0.4061145714
206	0.4055083289
207	0.4047450258
208	0.4039168505
209	0.4034802787
210	0.4029899805
211	0.402493398
212	0.4021522176
213	0.4016306179
214	0.4011162675
215	0.400890982
216	0.4002558407
217	0.3993687765
218	0.3990721038
219	0.3984206875
220	0.3974599422
221	0.3966742879
222	0.3954992268
223	0.395371473
224	0.3951015839
225	0.394138397
226	0.3939375555
227	0.3933600643
228	0.3931086634
229	0.3918710513
230	0.3913234943
231	0.3900248853
232	0.3889741627
233	0.3882877442
234	0.3879787445
235	0.3878377619
236	0.3871382115
237	0.3863990721
238	0.3859400944
239	0.3854956478
240	0.3845860717
241	0.3841114702
242	0.3840094414
243	0.3839675221
244	0.3833278341
245	0.3825424172
246	0.3819345532
