iter	Logloss
0	0.676213324
1	0.6602680117
2	0.6462932739
3	0.63173033
4	0.6195624203
5	0.6085012504
6	0.5994216458
7	0.5900964711
8	0.58147031
9	0.5740957079
10	0.5666273317
11	0.5593905023
12	0.5539928982
13	0.5484799589
14	0.542934702
15	0.5379807937
16	0.5341922496
17	0.5300385389
18	0.5260655701
19	0.5226278717
20	0.5194939546
21	0.5163663739
22	0.5130437472
23	0.5110386803
24	0.5093051061
25	0.5062294252
26	0.5039752508
27	0.5020464659
28	0.4995289359
29	0.4975838679
30	0.4958781047
31	0.4942851575
32	0.4922116309
33	0.4906654645
34	0.4901282903
35	0.4885945688
36	0.4872005067
37	0.4853892915
38	0.4841430144
39	0.4832267925
40	0.4821348935
41	0.4809465421
42	0.4799700177
43	0.4790745901
44	0.4777593239
45	0.4767212337
46	0.4756732444
47	0.4747937648
48	0.4733638298
49	0.4727960144
50	0.4718778784
51	0.4714235291
52	0.4708526625
53	0.4702120443
54	0.4694060285
55	0.4681534808
56	0.4673956818
57	0.4667662538
58	0.4661315253
59	0.4654406367
60	0.4646946704
61	0.4640714964
62	0.4635076304
63	0.4630129945
64	0.4624018121
65	0.4617279515
66	0.4610545744
67	0.4606520997
68	0.460221718
69	0.4595764209
70	0.4592713717
71	0.4588803224
72	0.4585962238
73	0.4578145412
74	0.456953482
75	0.4563399703
76	0.4559648704
77	0.4555864291
78	0.4552594872
79	0.4549691958
80	0.4543840151
81	0.4541940368
82	0.4540687849
83	0.4539378596
84	0.4537689233
85	0.4535393316
86	0.45306885
87	0.4525183145
88	0.4523418703
89	0.4521864107
90	0.4519811878
91	0.4517205356
92	0.4513611994
93	0.4512730124
94	0.4509321848
95	0.4507979021
96	0.4506364237
97	0.450315316
98	0.4501428584
99	0.44980256
100	0.4491787199
101	0.4489103433
102	0.4482608101
103	0.4479488352
104	0.4476648436
105	0.4474174251
106	0.4469907801
107	0.4465358152
108	0.4461699019
109	0.4461261913
110	0.4458175053
111	0.4454634926
112	0.4452592341
113	0.4451844
114	0.4449091696
115	0.4447899314
116	0.4444059763
117	0.4443674268
118	0.4442534218
119	0.4438409202
120	0.4436194491
121	0.4431728871
122	0.4429953605
123	0.4429597504
124	0.44254949
125	0.4424924983
126	0.44238914
127	0.4421705941
128	0.4418621911
129	0.4417094003
130	0.4413935277
131	0.4410542382
132	0.4402442584
133	0.4398789623
134	0.4396645791
135	0.4395065371
136	0.439317622
137	0.4391596441
138	0.4391372941
139	0.4386897377
140	0.4383545476
141	0.4382527252
142	0.4380586786
143	0.4379404069
144	0.4377280649
145	0.4370238125
146	0.4368539807
147	0.436713495
148	0.4364541005
149	0.4362639441
150	0.4359747487
151	0.4356910931
152	0.4355953194
153	0.4355036869
154	0.4350466065
155	0.4350275223
156	0.4344180032
157	0.4342859727
158	0.434076897
159	0.4338120167
160	0.43355635
161	0.433041248
162	0.4325693981
163	0.4323679498
164	0.4318046067
165	0.4317447059
166	0.4313944815
167	0.4309922889
168	0.4307671687
169	0.4305305841
170	0.4300027272
171	0.4297853012
172	0.4294688894
173	0.4293019051
174	0.4288494883
175	0.428795495
176	0.4280940212
177	0.4273131861
178	0.4272728727
179	0.42681722
180	0.4266447997
181	0.425655994
182	0.4251417921
183	0.4247470429
184	0.4245899067
185	0.4240203936
186	0.4234836758
187	0.4232209043
188	0.4229707672
189	0.422571303
190	0.4219563348
191	0.4217495849
192	0.4215300037
193	0.4212060882
194	0.4209274209
195	0.420089138
196	0.4200072769
197	0.4193056565
198	0.4184822037
199	0.4177741848
200	0.4172069292
201	0.4162668845
202	0.4161566853
203	0.4160262808
204	0.4156119908
205	0.414523321
206	0.4142052965
207	0.4137194863
208	0.4126009968
209	0.4119619275
210	0.411564093
211	0.4112696108
212	0.4104484646
213	0.4098295268
214	0.4096159071
215	0.409456892
216	0.4089623733
217	0.4083635453
218	0.4073290606
219	0.4067711795
220	0.4058506683
221	0.4050346683
222	0.4047892453
223	0.4041037768
224	0.4035995139
225	0.4034477764
226	0.4033660454
227	0.4028906587
228	0.4019551905
229	0.4017453214
230	0.401413337
231	0.4008539896
232	0.3997885935
233	0.3992378707
234	0.3988625472
235	0.3988236879
236	0.3983629478
237	0.3974214677
238	0.3970064925
239	0.3964554523
240	0.3959325075
241	0.3954917156
242	0.3951036682
243	0.3948422947
244	0.3946600959
245	0.3935140341
246	0.3931924412
247	0.3924979661
248	0.391620162
249	0.3902628308
250	0.3892413907
251	0.388717498
252	0.3883356932
253	0.3876452671
254	0.3871728447
255	0.3861846807
256	0.385753588
257	0.3855051465
258	0.3848116713
259	0.3842508689
260	0.3835259499
261	0.3824965747
262	0.3819954372
263	0.3818399548
264	0.3813984352
265	0.3810483485
266	0.38011309
267	0.3798922339
268	0.3796920147
269	0.3791101169
270	0.3787080866
271	0.3775845962
272	0.3767869558
273	0.3759357824
274	0.3750505712
275	0.3743248601
276	0.374101206
277	0.3729230291
278	0.3724945908
279	0.3720926258
280	0.3720353474
281	0.3718142335
282	0.3716672216
283	0.3707485831
284	0.3707090243
285	0.3699213178
286	0.3695799718
287	0.3693027816
288	0.3683905902
289	0.3679902886
290	0.3675818246
291	0.3669162982
292	0.366138526
293	0.3659974912
294	0.3658071688
295	0.3655438336
296	0.3654302746
297	0.3652712203
298	0.3645860897
299	0.3637643411
300	0.3634364764
301	0.3629557558
302	0.3629347214
303	0.3625158183
304	0.3618251815
305	0.3613763003
306	0.3613625133
307	0.3611751749
308	0.3610224935
309	0.3608576229
310	0.3602896269
311	0.3601702942
312	0.3594690867
313	0.3593080371
314	0.3589033848
315	0.3585079831
316	0.3580737381
317	0.3575361564
318	0.3573060765
319	0.3572268426
320	0.3570393183
321	0.3565942542
322	0.3557396955
323	0.355143224
324	0.3544830163
325	0.3542567078
326	0.3534209285
327	0.3531844362
328	0.3528851417
329	0.3520740815
330	0.3518226872
331	0.3508407191
332	0.35024891
333	0.3495844571
334	0.3493296592
335	0.3487759789
336	0.3484003169
337	0.3479808374
338	0.347581998
339	0.3467647887
340	0.3464968294
341	0.3463887211
342	0.3458004145
343	0.3457940604
344	0.3453061964
345	0.3443934878
346	0.3439974285
347	0.3434909151
348	0.3427867509
349	0.3425440709
350	0.3423034818
351	0.3416545784
352	0.3408035061
353	0.3407302593
354	0.3403370533
355	0.3394708072
356	0.3392498319
357	0.3385941414
358	0.337955219
359	0.3379222717
360	0.337397865
361	0.3371856924
362	0.3366753078
363	0.3362940502
364	0.3360270262
365	0.3353435902
366	0.3345507234
367	0.3341899095
368	0.3341159611
369	0.3336409648
370	0.3332590517
371	0.3331279136
372	0.3322580633
373	0.332179301
374	0.3317235839
375	0.3308537277
376	0.3304679117
377	0.3299278592
378	0.3294997872
379	0.3294691594
380	0.3292491322
381	0.3286932786
382	0.327930971
383	0.3278053308
384	0.3270887911
385	0.3267598478
386	0.326108057
387	0.3260659113
388	0.325444975
389	0.3253911792
390	0.3250760495
391	0.3248902738
392	0.3240674011
393	0.3233992166
394	0.3232891592
395	0.3224990685
396	0.3224669808
397	0.3223804212
398	0.3215972424
399	0.3213759776
400	0.3208993866
401	0.320408454
402	0.3203307597
403	0.3195669145
404	0.3189399246
405	0.3185954436
406	0.3182085521
407	0.317697949
408	0.3171853798
409	0.316591123
410	0.316308962
411	0.3159971581
412	0.3156340403
413	0.3153378898
414	0.3152656579
415	0.3151455605
416	0.3145970664
417	0.3142685333
418	0.3137886293
419	0.3135008491
420	0.3131208998
421	0.312793695
422	0.3121158918
423	0.3117504664
424	0.311571163
425	0.3107636992
426	0.3103826907
