iter	Passed	Remaining
0	9	3890
1	19	4056
2	28	4030
3	38	4092
4	49	4135
5	58	4118
6	68	4116
7	79	4184
8	88	4112
9	99	4133
10	109	4137
11	119	4130
12	131	4197
13	143	4222
14	152	4196
15	162	4165
16	173	4194
17	184	4185
18	194	4185
19	204	4159
20	214	4140
21	223	4106
22	232	4088
23	240	4038
24	250	4022
25	259	3998
26	268	3978
27	276	3945
28	288	3960
29	299	3960
30	307	3934
31	318	3929
32	329	3931
33	337	3905
34	349	3914
35	357	3885
36	367	3875
37	376	3851
38	386	3842
39	398	3851
40	406	3829
41	418	3831
42	428	3826
43	439	3827
44	449	3816
45	459	3806
46	468	3784
47	478	3774
48	487	3761
49	497	3747
50	507	3739
51	516	3727
52	526	3714
53	536	3708
54	547	3699
55	557	3696
56	568	3692
57	578	3678
58	589	3679
59	600	3671
60	610	3660
61	618	3644
62	628	3629
63	637	3617
64	646	3601
65	657	3593
66	665	3578
67	674	3561
68	684	3552
69	696	3552
70	705	3537
71	716	3531
72	726	3525
73	737	3520
74	748	3513
75	760	3510
76	770	3501
77	778	3484
78	789	3475
79	799	3469
80	808	3454
81	818	3441
82	827	3430
83	837	3421
84	847	3408
85	857	3399
86	867	3392
87	879	3389
88	890	3381
89	901	3374
90	906	3346
91	912	3323
92	919	3303
93	928	3288
94	937	3276
95	944	3255
96	952	3240
97	959	3221
98	966	3203
99	974	3186
100	982	3172
101	991	3160
102	998	3141
103	1008	3130
104	1017	3119
105	1026	3107
106	1034	3092
107	1043	3083
108	1050	3063
109	1058	3050
110	1065	3031
111	1072	3015
112	1079	2999
113	1084	2978
114	1092	2962
115	1099	2947
116	1107	2933
117	1115	2921
118	1122	2905
119	1129	2888
120	1138	2878
121	1146	2866
122	1153	2851
123	1161	2839
124	1170	2827
125	1178	2815
126	1183	2796
127	1192	2784
128	1199	2769
129	1207	2758
130	1216	2748
131	1222	2731
132	1228	2716
133	1236	2702
134	1241	2686
135	1250	2675
136	1256	2659
137	1263	2646
138	1268	2629
139	1277	2618
140	1283	2603
141	1290	2591
142	1297	2576
143	1305	2565
144	1313	2553
145	1320	2541
146	1327	2528
147	1339	2524
148	1344	2509
149	1352	2496
150	1359	2484
151	1364	2469
152	1372	2457
153	1379	2445
154	1387	2434
155	1393	2420
156	1398	2404
157	1406	2394
158	1413	2383
159	1423	2374
160	1431	2364
161	1439	2355
162	1445	2341
163	1453	2331
164	1464	2325
165	1470	2312
166	1478	2301
167	1485	2289
168	1491	2276
169	1497	2264
170	1507	2256
171	1513	2244
172	1522	2234
173	1530	2225
174	1538	2216
175	1545	2204
176	1554	2196
177	1562	2186
178	1571	2176
179	1580	2168
180	1589	2160
181	1596	2148
182	1604	2138
183	1612	2129
184	1618	2117
185	1627	2108
186	1634	2097
187	1642	2087
188	1649	2077
189	1657	2068
190	1667	2060
191	1676	2052
192	1687	2045
193	1700	2042
194	1710	2034
195	1718	2025
196	1725	2014
197	1736	2007
198	1741	1995
199	1752	1988
200	1758	1977
201	1766	1967
202	1774	1957
203	1782	1948
204	1791	1940
205	1798	1929
206	1806	1920
207	1815	1911
208	1823	1901
209	1834	1895
210	1841	1885
211	1849	1875
212	1857	1866
213	1862	1854
214	1872	1845
215	1877	1834
216	1884	1824
217	1891	1812
218	1898	1802
219	1904	1791
220	1913	1783
221	1922	1775
222	1932	1767
223	1938	1756
224	1944	1745
225	1950	1734
226	1958	1725
227	1968	1718
228	1974	1707
229	1983	1699
230	1990	1688
231	2000	1681
232	2009	1673
233	2016	1663
234	2026	1655
235	2034	1646
236	2039	1635
237	2048	1626
238	2056	1618
239	2064	1608
240	2070	1597
241	2077	1587
242	2083	1577
243	2089	1567
244	2099	1559
245	2106	1549
246	2113	1540
247	2124	1533
248	2133	1525
249	2141	1516
250	2149	1506
251	2159	1499
252	2167	1490
253	2174	1480
254	2182	1471
255	2187	1460
256	2195	1452
257	2204	1444
258	2212	1434
259	2219	1425
260	2225	1415
261	2232	1405
262	2240	1397
263	2245	1386
264	2254	1377
265	2261	1368
266	2270	1360
267	2280	1352
268	2285	1342
269	2294	1333
270	2301	1324
271	2309	1316
272	2316	1306
273	2325	1298
274	2333	1289
275	2338	1279
276	2346	1270
277	2353	1261
278	2359	1251
279	2369	1244
280	2378	1235
281	2386	1226
282	2394	1218
283	2402	1209
284	2412	1202
285	2421	1193
286	2430	1185
287	2439	1177
288	2447	1168
289	2454	1159
290	2461	1150
291	2468	1141
292	2478	1133
293	2488	1125
294	2496	1116
295	2503	1107
296	2510	1099
297	2517	1089
298	2526	1081
299	2535	1073
300	2543	1064
301	2552	1056
302	2558	1046
303	2566	1038
304	2575	1030
305	2584	1021
306	2592	1013
307	2598	1003
308	2605	995
309	2614	986
310	2623	978
311	2632	970
312	2640	961
313	2646	952
314	2653	943
315	2661	935
316	2670	926
317	2676	917
318	2683	908
319	2693	900
320	2700	891
321	2707	882
322	2718	875
323	2727	867
324	2734	858
325	2740	848
326	2749	840
327	2757	832
328	2764	823
329	2772	814
330	2779	806
331	2787	797
332	2794	788
333	2802	780
334	2809	771
335	2817	762
336	2824	754
337	2832	745
338	2837	736
339	2843	727
340	2850	718
341	2860	710
342	2869	702
343	2877	694
344	2886	685
345	2894	677
346	2903	669
347	2910	660
348	2920	652
349	2927	643
350	2933	635
351	2941	626
352	2949	618
353	2955	609
354	2963	600
355	2971	592
356	2979	584
357	2989	576
358	2998	567
359	3005	559
360	3014	551
361	3022	542
362	3033	534
363	3042	526
364	3048	517
365	3055	509
366	3061	500
367	3072	492
368	3078	483
369	3084	475
370	3092	466
371	3099	458
372	3106	449
373	3114	441
374	3119	432
375	3125	423
376	3133	415
377	3141	407
378	3149	398
379	3157	390
380	3165	382
381	3173	373
382	3181	365
383	3191	357
384	3200	349
385	3209	340
386	3218	332
387	3225	324
388	3234	315
389	3242	307
390	3251	299
391	3258	290
392	3269	282
393	3279	274
394	3287	266
395	3293	257
396	3303	249
397	3312	241
398	3321	233
399	3336	225
400	3347	217
401	3356	208
402	3365	200
403	3377	192
404	3388	184
405	3400	175
406	3413	167
407	3425	159
408	3435	151
409	3447	142
410	3459	134
411	3471	126
412	3480	117
413	3486	109
414	3493	101
415	3502	92
416	3510	84
417	3515	75
418	3522	67
419	3532	58
420	3539	50
421	3546	42
422	3555	33
423	3565	25
424	3571	16
425	3578	8
426	3591	0
