iter	Logloss
0	0.6752802716
1	0.6586566803
2	0.6439145672
3	0.6295520061
4	0.6192343627
5	0.6083553003
6	0.5976501321
7	0.5880479587
8	0.5797419205
9	0.5719505341
10	0.5647552428
11	0.5587719658
12	0.5522442018
13	0.5459437331
14	0.5400108499
15	0.5346871114
16	0.5309794681
17	0.5267194209
18	0.5228538734
19	0.5202266372
20	0.5172251324
21	0.512979776
22	0.5101411183
23	0.5078297698
24	0.5053419638
25	0.5031475516
26	0.5007899568
27	0.498801608
28	0.4964705962
29	0.4948352128
30	0.4930535852
31	0.4916823704
32	0.4901186776
33	0.4886492398
34	0.4876538917
35	0.4860153802
36	0.4848075322
37	0.4833243119
38	0.482020106
39	0.4808775329
40	0.4797333032
41	0.4789211858
42	0.4781107816
43	0.4765409052
44	0.475364594
45	0.4742599083
46	0.4732786859
47	0.4721848008
48	0.4713046622
49	0.4704903741
50	0.4696056609
51	0.4689251648
52	0.4681442345
53	0.4674063189
54	0.4662998083
55	0.465587215
56	0.4648680269
57	0.4643832399
58	0.4640128492
59	0.463055856
60	0.4624047091
61	0.4616327227
62	0.4612041483
63	0.4606646533
64	0.460431985
65	0.4597908057
66	0.4594035108
67	0.4588019227
68	0.4581284544
69	0.4578760159
70	0.4575455456
71	0.4571069926
72	0.4564101157
73	0.4561630959
74	0.4555357801
75	0.4550229973
76	0.4548086064
77	0.4543477855
78	0.4540238742
79	0.4537806339
80	0.4536082873
81	0.4534515961
82	0.4530054185
83	0.452572064
84	0.4523073295
85	0.4520107227
86	0.4516616453
87	0.450977252
88	0.4506481178
89	0.4503294311
90	0.4500348797
91	0.4497740938
92	0.4496059603
93	0.4493425828
94	0.4492093981
95	0.4491380583
96	0.4486800974
97	0.448247437
98	0.4481015877
99	0.4477371554
100	0.4473772204
101	0.4469935986
102	0.4468876423
103	0.4464656042
104	0.4462267887
105	0.445852335
106	0.4455172981
107	0.4453527999
108	0.4452203781
109	0.4449886184
110	0.4447302156
111	0.4443051098
112	0.4436312567
113	0.443381412
114	0.4430125287
115	0.442753879
116	0.4425015756
117	0.4423032709
118	0.4421036783
119	0.4419803663
120	0.441908172
121	0.4417309589
122	0.4414770419
123	0.4410845676
124	0.4409880762
125	0.4405587507
126	0.4402867141
127	0.4401450506
128	0.439538637
129	0.4391503124
130	0.4388105691
131	0.4387499494
132	0.4386653864
133	0.4381233879
134	0.4379512159
135	0.4376477701
136	0.4376078602
137	0.4372864474
138	0.4371948984
139	0.4370072579
140	0.4363990585
141	0.436118231
142	0.4357782639
143	0.4355013655
144	0.4351405321
145	0.4348879999
146	0.4345401135
147	0.4343742634
148	0.4341847698
149	0.4337925437
150	0.4335261514
151	0.4333251921
152	0.4330491766
153	0.4327243028
154	0.4325412948
155	0.4323931796
156	0.431931202
157	0.4315839979
158	0.4310815883
159	0.4304744535
160	0.429910653
161	0.4296859847
162	0.4292433763
163	0.4287649587
164	0.4284575215
165	0.4282013405
166	0.4277340208
167	0.4272424922
168	0.4272071576
169	0.4268595443
170	0.4267441763
171	0.4265097794
172	0.426066076
173	0.4255386362
174	0.4250943837
175	0.4249698098
176	0.4247414721
177	0.4244808971
178	0.4238403068
179	0.4233504985
180	0.4229892889
181	0.4226657281
182	0.4225347378
183	0.4222248891
184	0.421927586
185	0.421541191
186	0.4215103203
187	0.4203791613
188	0.4199655466
189	0.4196128664
190	0.4192762117
191	0.4187381368
192	0.4182073851
193	0.4176538234
194	0.4169318799
195	0.4162112767
196	0.4155949756
197	0.4148753319
198	0.4145999472
199	0.4141333969
200	0.4137730401
201	0.4132729562
202	0.4126663993
203	0.4120161779
204	0.4115672672
205	0.4114719877
206	0.4112230495
207	0.4108966852
208	0.4102650973
209	0.4094823336
210	0.4087624198
211	0.4085581133
212	0.4085305432
213	0.408480534
214	0.4082877737
215	0.4082050586
216	0.4078831483
217	0.4076747569
218	0.4069166574
219	0.406884876
220	0.4066839711
221	0.405787214
222	0.405536838
223	0.4048967402
224	0.4047478217
225	0.404695125
226	0.4046920729
227	0.4039834922
228	0.4030513296
229	0.4025030656
230	0.4021545074
231	0.4020784854
232	0.4011532707
233	0.4010240257
234	0.4003673903
235	0.4001434522
236	0.399920854
237	0.3993057969
238	0.3990006713
239	0.3988143772
240	0.3988103587
241	0.3983708461
242	0.3979057764
243	0.3976720065
244	0.3965951251
245	0.396211564
246	0.3960030172
247	0.3954173675
248	0.3947857893
249	0.3943703226
250	0.3943290846
251	0.3935476638
252	0.3933218455
253	0.392617989
254	0.392110581
255	0.3917792415
256	0.3915526094
257	0.3913869496
258	0.3908541076
259	0.3897713648
260	0.3887424175
261	0.3881508375
262	0.3879839361
263	0.3879820483
264	0.387362773
265	0.3864387959
266	0.3859451383
267	0.38548265
268	0.3851775881
269	0.3848947967
270	0.3846841198
271	0.3841717891
272	0.3832541886
273	0.382924752
274	0.3819705426
275	0.3819232694
276	0.3816080903
277	0.3812767247
278	0.3809444671
279	0.3806712596
280	0.3805687379
281	0.3803041744
282	0.3802634611
283	0.3798538706
284	0.3791928823
285	0.3783611361
286	0.378340163
287	0.3779538409
288	0.3773125698
289	0.3772631353
290	0.3769031993
291	0.3767035219
292	0.3759833262
293	0.375038298
294	0.3741054582
295	0.3733151017
296	0.3726379033
297	0.3723924135
298	0.3719914198
299	0.371692582
300	0.371540497
301	0.3708755923
302	0.3699242063
303	0.3692440496
304	0.369091155
305	0.3683775156
306	0.3678837334
307	0.367856186
308	0.3674588426
309	0.3669375901
310	0.3668004331
311	0.3654960464
312	0.3652274473
313	0.3651380574
314	0.3647215047
315	0.3645562576
316	0.3641904493
317	0.363983411
318	0.3632309584
319	0.3627634197
320	0.3627301638
321	0.3622856789
322	0.3619295756
323	0.3608754815
324	0.3607503837
325	0.3604578756
326	0.3598390942
327	0.3596024522
328	0.3592157536
329	0.3588762239
330	0.3588493173
331	0.3583429743
332	0.3580209229
333	0.3575097594
334	0.3572549289
335	0.3569893202
336	0.3564028565
337	0.356064776
338	0.3558021517
339	0.3552525617
340	0.3550198322
341	0.3546802282
342	0.3543708575
343	0.3539058977
344	0.3531839478
345	0.3528130017
346	0.3524808357
347	0.3524548837
348	0.3511281705
349	0.3508310957
350	0.3505391689
351	0.350112909
352	0.3497389661
353	0.3496537398
354	0.3494579724
355	0.3490476727
356	0.3487487051
357	0.3486885019
358	0.3485648713
359	0.3482113569
360	0.3481408675
361	0.3479949177
362	0.3476169158
363	0.3475667258
364	0.3475425529
365	0.3473690715
366	0.347327113
367	0.3471414918
368	0.346867246
369	0.3466473836
370	0.3463357412
371	0.3457956892
372	0.3455702156
373	0.3454354737
374	0.3454089997
375	0.3449056531
376	0.3445735053
377	0.3441499276
378	0.3438227387
379	0.3432271345
380	0.3421283912
381	0.3416098211
382	0.3411106749
383	0.3399723436
384	0.3394756644
385	0.3389087636
386	0.3382317795
387	0.3378221556
388	0.3370667681
389	0.3367057914
390	0.3363638081
391	0.3356679705
392	0.3354783356
393	0.335256812
394	0.3348104649
395	0.3344403062
396	0.3336352932
397	0.333557245
398	0.3331018868
399	0.3328211503
400	0.332695337
401	0.3326370878
402	0.3324874732
403	0.3318215287
404	0.3315530577
405	0.3314264758
406	0.3312586606
407	0.3312489109
408	0.3310227333
409	0.3305663869
410	0.3300476316
411	0.3295685788
412	0.3289898333
413	0.3289537256
414	0.3289084013
415	0.3280587384
416	0.3275832854
417	0.3274699456
418	0.3267934534
419	0.3263801787
420	0.3259501957
421	0.3256165523
422	0.3255800845
423	0.3254325858
424	0.3253900589
425	0.3253344968
426	0.3250369326
